time,type,description,details
2291,ORDER_DELIVERED,Order 10 delivered by courier 0,"{""order_id"": 10, ""courier_id"": 0, ""click_to_door"": 1228.2423158874788, ""ready_to_door"": 1048.2423158874788}"
2291,COURIER_IDLE,Courier 0 is now idle,"{""courier_id"": 0}"
2301,PICKUP_SERVICE_START,Courier 2 starting pickup service (90s),"{""courier_id"": 2, ""service_time"": 90}"
2370,ORDER_DELIVERED,Order 9 delivered by courier 1,"{""order_id"": 9, ""courier_id"": 1, ""click_to_door"": 1402.6777848935312, ""ready_to_door"": 1222.6777848935312}"
2370,COURIER_IDLE,Courier 1 is now idle,"{""courier_id"": 1}"
2391,ORDER_PICKED_UP,Order 18 picked up by courier 2,"{""order_id"": 18, ""courier_id"": 2}"
2391,COURIER_DELIVERING,Courier 2 heading to first dropoff (optimized),"{""courier_id"": 2, ""order_ids"": []}"
2397,ORDER_EXPIRED,Order 13 expired (not matched within 900s),"{""order_id"": 13}"
2400,ASSIGNMENT_MADE,Courier 0 assigned orders [14],"{""courier_id"": 0, ""order_ids"": [14], ""bundle_size"": 1, ""has_relay"": false}"
2400,ASSIGNMENT_MADE,Courier 1 assigned orders [21],"{""courier_id"": 1, ""order_ids"": [21], ""bundle_size"": 1, ""has_relay"": false}"
2400,ASSIGNMENT_MADE,Courier 3 assigned orders [20],"{""courier_id"": 3, ""order_ids"": [20], ""bundle_size"": 1, ""has_relay"": false}"
2439,ORDER_PLACED,Order 22 placed,"{""order_id"": 22, ""restaurant_id"": 4}"
2490,PICKUP_SERVICE_START,Courier 3 starting pickup service (90s),"{""courier_id"": 3, ""service_time"": 90}"
2491,ORDER_EXPIRED,Order 15 expired (not matched within 900s),"{""order_id"": 15}"
2494,ORDER_EXPIRED,Order 16 expired (not matched within 900s),"{""order_id"": 16}"
2502,ORDER_PLACED,Order 23 placed,"{""order_id"": 23, ""restaurant_id"": 3}"
2507,ORDER_PLACED,Order 24 placed,"{""order_id"": 24, ""restaurant_id"": 2}"
2526,ORDER_EXPIRED,Order 17 expired (not matched within 900s),"{""order_id"": 17}"
2556,ORDER_DELIVERED,Order 11 delivered by courier 4,"{""order_id"": 11, ""courier_id"": 4, ""click_to_door"": 1479.452724730948, ""ready_to_door"": 1299.452724730948}"
2556,COURIER_IDLE,Courier 4 is now idle,"{""courier_id"": 4}"
2580,ORDER_PICKED_UP,Order 20 picked up by courier 3,"{""order_id"": 20, ""courier_id"": 3}"
2580,COURIER_DELIVERING,Courier 3 heading to first dropoff (optimized),"{""courier_id"": 3, ""order_ids"": []}"
2598,PICKUP_SERVICE_START,Courier 1 starting pickup service (90s),"{""courier_id"": 1, ""service_time"": 90}"
2619,ORDER_READY,Order 22 is ready for pickup,"{""order_id"": 22}"
2646,ORDER_PLACED,Order 25 placed,"{""order_id"": 25, ""restaurant_id"": 2}"
2682,ORDER_READY,Order 23 is ready for pickup,"{""order_id"": 23}"
2687,ORDER_READY,Order 24 is ready for pickup,"{""order_id"": 24}"
2688,ORDER_PICKED_UP,Order 21 picked up by courier 1,"{""order_id"": 21, ""courier_id"": 1}"
2688,COURIER_DELIVERING,Courier 1 heading to first dropoff (optimized),"{""courier_id"": 1, ""order_ids"": []}"
2690,ORDER_PLACED,Order 26 placed,"{""order_id"": 26, ""restaurant_id"": 3}"
2700,ASSIGNMENT_MADE,Courier 4 assigned orders [22],"{""courier_id"": 4, ""order_ids"": [22], ""bundle_size"": 1, ""has_relay"": false}"
2713,ORDER_PLACED,Order 27 placed,"{""order_id"": 27, ""restaurant_id"": 0}"
2732,ORDER_DELIVERED,Order 18 delivered by courier 2,"{""order_id"": 18, ""courier_id"": 2, ""click_to_door"": 1185.1814657012928, ""ready_to_door"": 1005.1814657012928}"
2732,COURIER_IDLE,Courier 2 is now idle,"{""courier_id"": 2}"
2826,ORDER_READY,Order 25 is ready for pickup,"{""order_id"": 25}"
2858,ORDER_EXPIRED,Order 19 expired (not matched within 900s),"{""order_id"": 19}"
2870,ORDER_READY,Order 26 is ready for pickup,"{""order_id"": 26}"
2884,ORDER_DELIVERED,Order 20 delivered by courier 3,"{""order_id"": 20, ""courier_id"": 3, ""click_to_door"": 993.3965075963692, ""ready_to_door"": 813.3965075963692}"
2884,COURIER_IDLE,Courier 3 is now idle,"{""courier_id"": 3}"
2891,ORDER_DELIVERED,Order 21 delivered by courier 1,"{""order_id"": 21, ""courier_id"": 1, ""click_to_door"": 921.2901309624522, ""ready_to_door"": 741.2901309624522}"
2891,COURIER_IDLE,Courier 1 is now idle,"{""courier_id"": 1}"
2893,ORDER_READY,Order 27 is ready for pickup,"{""order_id"": 27}"
2896,ORDER_PLACED,Order 28 placed,"{""order_id"": 28, ""restaurant_id"": 3}"
2972,ORDER_PLACED,Order 29 placed,"{""order_id"": 29, ""restaurant_id"": 0}"
2982,ORDER_PLACED,Order 30 placed,"{""order_id"": 30, ""restaurant_id"": 4}"
3000,ASSIGNMENT_MADE,Courier 1 assigned orders [23],"{""courier_id"": 1, ""order_ids"": [23], ""bundle_size"": 1, ""has_relay"": false}"
3000,ASSIGNMENT_MADE,Courier 2 assigned orders [26],"{""courier_id"": 2, ""order_ids"": [26], ""bundle_size"": 1, ""has_relay"": false}"
3000,ASSIGNMENT_MADE,Courier 3 assigned orders [27],"{""courier_id"": 3, ""order_ids"": [27], ""bundle_size"": 1, ""has_relay"": false}"
3055,ORDER_PLACED,Order 31 placed,"{""order_id"": 31, ""restaurant_id"": 4}"
3076,ORDER_READY,Order 28 is ready for pickup,"{""order_id"": 28}"
3137,ORDER_PLACED,Order 32 placed,"{""order_id"": 32, ""restaurant_id"": 2}"
3147,PICKUP_SERVICE_START,Courier 4 starting pickup service (90s),"{""courier_id"": 4, ""service_time"": 90}"
3152,ORDER_READY,Order 29 is ready for pickup,"{""order_id"": 29}"
3162,ORDER_READY,Order 30 is ready for pickup,"{""order_id"": 30}"
3182,PICKUP_SERVICE_START,Courier 0 starting pickup service (90s),"{""courier_id"": 0, ""service_time"": 90}"
3235,ORDER_READY,Order 31 is ready for pickup,"{""order_id"": 31}"
3237,ORDER_PICKED_UP,Order 22 picked up by courier 4,"{""order_id"": 22, ""courier_id"": 4}"
3237,COURIER_DELIVERING,Courier 4 heading to first dropoff (optimized),"{""courier_id"": 4, ""order_ids"": []}"
3272,ORDER_PICKED_UP,Order 14 picked up by courier 0,"{""order_id"": 14, ""courier_id"": 0}"
3272,COURIER_DELIVERING,Courier 0 heading to first dropoff (optimized),"{""courier_id"": 0, ""order_ids"": [14]}"
3278,PICKUP_SERVICE_START,Courier 1 starting pickup service (90s),"{""courier_id"": 1, ""service_time"": 90}"
3304,PICKUP_SERVICE_START,Courier 3 starting pickup service (90s),"{""courier_id"": 3, ""service_time"": 90}"
3317,ORDER_READY,Order 32 is ready for pickup,"{""order_id"": 32}"
3341,PICKUP_SERVICE_START,Courier 2 starting pickup service (90s),"{""courier_id"": 2, ""service_time"": 90}"
3368,ORDER_PICKED_UP,Order 23 picked up by courier 1,"{""order_id"": 23, ""courier_id"": 1}"
3368,COURIER_DELIVERING,Courier 1 heading to first dropoff (optimized),"{""courier_id"": 1, ""order_ids"": [23]}"
3394,ORDER_PICKED_UP,Order 27 picked up by courier 3,"{""order_id"": 27, ""courier_id"": 3}"
3394,COURIER_DELIVERING,Courier 3 heading to first dropoff (optimized),"{""courier_id"": 3, ""order_ids"": [27]}"
3431,ORDER_PICKED_UP,Order 26 picked up by courier 2,"{""order_id"": 26, ""courier_id"": 2}"
3431,COURIER_DELIVERING,Courier 2 heading to first dropoff (optimized),"{""courier_id"": 2, ""order_ids"": [26]}"
3583,ORDER_DELIVERED,Order 22 delivered by courier 4,"{""order_id"": 22, ""courier_id"": 4, ""click_to_door"": 1144.12949455251, ""ready_to_door"": 964.1294945525101}"
3583,COURIER_IDLE,Courier 4 is now idle,"{""courier_id"": 4}"
3587,ORDER_EXPIRED,Order 24 expired (not matched within 900s),"{""order_id"": 24}"
3600,ASSIGNMENT_MADE,Courier 4 assigned orders [31],"{""courier_id"": 4, ""order_ids"": [31], ""bundle_size"": 1, ""has_relay"": false}"
3600,SIMULATION_END,Simulation completed,"{""final_metrics"": {""orders_delivered"": 13, ""orders_in_transit"": 5, ""orders_unassigned"": 5, ""orders_out_of_scope"": 0, ""total_delivery_time"": 16223.363229879971, ""total_ready_to_door_time"": 13883.363229879971, ""total_distance_traveled"": 45.101507176440975, ""total_courier_idle_time"": 1994.0, ""bundles_created"": 18, ""total_bundle_size"": 18, ""unserved_orders"": 20, ""relay_handoffs"": 0, ""relay_orders"": 0, ""relay_distance_saved"": 0.0, ""orders_expired"": 10, ""fulfillment_rate_pct"": 39.39393939393939, ""avg_click_to_door_time"": 1247.9510176830747, ""p90_click_to_door_time"": 1584.0796990662093, ""avg_ready_to_door_time"": 1067.9510176830747, ""avg_delivery_time"": 1247.9510176830747, ""avg_ready_to_door_time_sec"": 1067.9510176830747, ""avg_pickup_wait_time"": 678.4125561446131, ""courier_utilization_pct"": 88.92222222222223, ""courier_utilization"": 88.92222222222223, ""total_distance_traveled_km"": 45.101507176440975, ""avg_orders_per_courier_hour"": 2.6, ""system_throughput_orders_per_hour"": 13.0, ""avg_bundle_size"": 1.0}}"
