time,type,description,details
3272,ORDER_PICKED_UP,Order 14 picked up by courier 0,"{""order_id"": 14, ""courier_id"": 0}"
3272,COURIER_DELIVERING,Courier 0 heading to first dropoff (optimized),"{""courier_id"": 0, ""order_ids"": [14]}"
3278,PICKUP_SERVICE_START,Courier 3 starting pickup service (90s),"{""courier_id"": 3, ""service_time"": 90}"
3303,ORDER_DELIVERED,Order 16 delivered by courier 4,"{""order_id"": 16, ""courier_id"": 4, ""click_to_door"": 1889.8676493573787, ""ready_to_door"": 1709.8676493573787}"
3303,COURIER_IDLE,Courier 4 is now idle,"{""courier_id"": 4}"
3317,ORDER_READY,Order 32 is ready for pickup,"{""order_id"": 32}"
3363,ORDER_DELIVERED,Order 22 delivered by courier 2,"{""order_id"": 22, ""courier_id"": 2, ""click_to_door"": 924.1294945525101, ""ready_to_door"": 744.1294945525101}"
3363,COURIER_IDLE,Courier 2 is now idle,"{""courier_id"": 2}"
3368,ORDER_PICKED_UP,Order 23 picked up by courier 3,"{""order_id"": 23, ""courier_id"": 3}"
3368,ORDER_PICKED_UP,Order 26 picked up by courier 3,"{""order_id"": 26, ""courier_id"": 3}"
3368,ROUTE_OPTIMIZED,Courier 3 route optimized: 2 dropoffs reordered,"{""courier_id"": 3, ""original_sequence"": [23, 26], ""optimized_sequence"": [23, 26]}"
3368,COURIER_DELIVERING,Courier 3 heading to first dropoff (optimized),"{""courier_id"": 3, ""order_ids"": [23, 26]}"
3397,ORDER_DELIVERED,Order 12 delivered by courier 1,"{""order_id"": 12, ""courier_id"": 1, ""click_to_door"": 2310.774953129568, ""ready_to_door"": 2130.774953129568}"
3397,COURIER_IDLE,Courier 1 is now idle,"{""courier_id"": 1}"
3587,ORDER_EXPIRED,Order 24 expired (not matched within 900s),"{""order_id"": 24}"
3600,ASSIGNMENT_MADE,"Courier 1 assigned orders [30, 31]","{""courier_id"": 1, ""order_ids"": [30, 31], ""bundle_size"": 2, ""has_relay"": false}"
3600,ASSIGNMENT_MADE,Courier 2 assigned orders [28],"{""courier_id"": 2, ""order_ids"": [28], ""bundle_size"": 1, ""has_relay"": false}"
3600,ASSIGNMENT_MADE,"Courier 4 assigned orders [27, 29]","{""courier_id"": 4, ""order_ids"": [27, 29], ""bundle_size"": 2, ""has_relay"": false}"
3600,SIMULATION_END,Simulation completed,"{""final_metrics"": {""orders_delivered"": 15, ""orders_in_transit"": 8, ""orders_unassigned"": 2, ""orders_out_of_scope"": 0, ""total_delivery_time"": 18973.575141145328, ""total_ready_to_door_time"": 16273.575141145328, ""total_distance_traveled"": 46.37244246876216, ""total_courier_idle_time"": 2200.0, ""bundles_created"": 17, ""total_bundle_size"": 23, ""unserved_orders"": 18, ""relay_handoffs"": 0, ""relay_orders"": 0, ""relay_distance_saved"": 0.0, ""orders_expired"": 8, ""fulfillment_rate_pct"": 45.45454545454545, ""avg_click_to_door_time"": 1264.9050094096885, ""p90_click_to_door_time"": 1774.1656061030171, ""avg_ready_to_door_time"": 1084.9050094096885, ""avg_delivery_time"": 1264.9050094096885, ""avg_ready_to_door_time_sec"": 1084.9050094096885, ""avg_pickup_wait_time"": 535.8383427430218, ""courier_utilization_pct"": 87.77777777777777, ""courier_utilization"": 87.77777777777777, ""total_distance_traveled_km"": 46.37244246876216, ""avg_orders_per_courier_hour"": 3.0, ""system_throughput_orders_per_hour"": 15.0, ""avg_bundle_size"": 1.3529411764705883}}"
